Model,Accuracy,F1-Score
Logistic Regression,0.803563255966002,0.8690752900819524
Decision Tree,0.7184814645308923,0.7906895720265922
Random Forest,0.8026459627329192,0.8681095169987161
SVM,0.7767784243216738,0.8361861971711422
Neural Network,0.7294617848970252,0.8050009566376852
